,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
91,LinearSVC,countVectorizer,"(2, 2)",10,0.95,1353,5000,0.7858,0.7598,0.8092,0.7897,1.95,"ngram=(2, 2), min_df=10, max_df=0.95"
92,LinearSVC,countVectorizer,"(2, 2)",10,0.99,1353,5000,0.7858,0.7598,0.8092,0.7897,1.95,"ngram=(2, 2), min_df=10, max_df=0.99"
93,LinearSVC,countVectorizer,"(2, 2)",20,0.9,469,5000,0.7063,0.6912,0.7556,0.7456,1.0,"ngram=(2, 2), min_df=20, max_df=0.9"
94,LinearSVC,countVectorizer,"(2, 2)",20,0.95,469,5000,0.7063,0.6912,0.7556,0.7456,1.0,"ngram=(2, 2), min_df=20, max_df=0.95"
95,LinearSVC,countVectorizer,"(2, 2)",20,0.99,469,5000,0.7063,0.6912,0.7556,0.7456,1.0,"ngram=(2, 2), min_df=20, max_df=0.99"
96,MultinomialNB,countVectorizer,"(1, 1)",1,0.9,5000,5000,0.9358,0.92,0.9336,0.9174,1.62,"ngram=(1, 1), min_df=1, max_df=0.9"
97,MultinomialNB,countVectorizer,"(1, 1)",1,0.95,5000,5000,0.9358,0.92,0.9336,0.9174,1.62,"ngram=(1, 1), min_df=1, max_df=0.95"
98,MultinomialNB,countVectorizer,"(1, 1)",1,0.99,5000,5000,0.9358,0.92,0.9336,0.9174,1.62,"ngram=(1, 1), min_df=1, max_df=0.99"
99,MultinomialNB,countVectorizer,"(1, 1)",5,0.9,4888,5000,0.9355,0.9205,0.9333,0.9179,1.55,"ngram=(1, 1), min_df=5, max_df=0.9"
100,MultinomialNB,countVectorizer,"(1, 1)",5,0.95,4888,5000,0.9355,0.9205,0.9333,0.9179,1.55,"ngram=(1, 1), min_df=5, max_df=0.95"
101,MultinomialNB,countVectorizer,"(1, 1)",5,0.99,4888,5000,0.9355,0.9205,0.9333,0.9179,1.55,"ngram=(1, 1), min_df=5, max_df=0.99"
102,MultinomialNB,countVectorizer,"(1, 1)",10,0.9,3185,5000,0.9294,0.9148,0.927,0.912,1.5,"ngram=(1, 1), min_df=10, max_df=0.9"
103,MultinomialNB,countVectorizer,"(1, 1)",10,0.95,3185,5000,0.9294,0.9148,0.927,0.912,1.5,"ngram=(1, 1), min_df=10, max_df=0.95"
104,MultinomialNB,countVectorizer,"(1, 1)",10,0.99,3185,5000,0.9294,0.9148,0.927,0.912,1.5,"ngram=(1, 1), min_df=10, max_df=0.99"
105,MultinomialNB,countVectorizer,"(1, 1)",20,0.9,1987,5000,0.9214,0.9102,0.9186,0.9072,1.14,"ngram=(1, 1), min_df=20, max_df=0.9"
106,MultinomialNB,countVectorizer,"(1, 1)",20,0.95,1987,5000,0.9214,0.9102,0.9186,0.9072,1.14,"ngram=(1, 1), min_df=20, max_df=0.95"
107,MultinomialNB,countVectorizer,"(1, 1)",20,0.99,1987,5000,0.9214,0.9102,0.9186,0.9072,1.14,"ngram=(1, 1), min_df=20, max_df=0.99"
108,MultinomialNB,countVectorizer,"(1, 2)",1,0.9,5000,5000,0.9329,0.9192,0.9307,0.9164,1.43,"ngram=(1, 2), min_df=1, max_df=0.9"
109,MultinomialNB,countVectorizer,"(1, 2)",1,0.95,5000,5000,0.9329,0.9192,0.9307,0.9164,1.43,"ngram=(1, 2), min_df=1, max_df=0.95"
110,MultinomialNB,countVectorizer,"(1, 2)",1,0.99,5000,5000,0.9329,0.9192,0.9307,0.9164,1.43,"ngram=(1, 2), min_df=1, max_df=0.99"
111,MultinomialNB,countVectorizer,"(1, 2)",5,0.9,5000,5000,0.9329,0.9187,0.9306,0.9159,1.47,"ngram=(1, 2), min_df=5, max_df=0.9"
112,MultinomialNB,countVectorizer,"(1, 2)",5,0.95,5000,5000,0.9329,0.9187,0.9306,0.9159,1.47,"ngram=(1, 2), min_df=5, max_df=0.95"
113,MultinomialNB,countVectorizer,"(1, 2)",5,0.99,5000,5000,0.9329,0.9187,0.9306,0.9159,1.47,"ngram=(1, 2), min_df=5, max_df=0.99"
114,MultinomialNB,countVectorizer,"(1, 2)",10,0.9,4538,5000,0.9316,0.9186,0.9293,0.9158,1.35,"ngram=(1, 2), min_df=10, max_df=0.9"
115,MultinomialNB,countVectorizer,"(1, 2)",10,0.95,4538,5000,0.9316,0.9186,0.9293,0.9158,1.35,"ngram=(1, 2), min_df=10, max_df=0.95"
116,MultinomialNB,countVectorizer,"(1, 2)",10,0.99,4538,5000,0.9316,0.9186,0.9293,0.9158,1.35,"ngram=(1, 2), min_df=10, max_df=0.99"
117,MultinomialNB,countVectorizer,"(1, 2)",20,0.9,2456,5000,0.9218,0.9108,0.919,0.9076,1.14,"ngram=(1, 2), min_df=20, max_df=0.9"
118,MultinomialNB,countVectorizer,"(1, 2)",20,0.95,2456,5000,0.9218,0.9108,0.919,0.9076,1.14,"ngram=(1, 2), min_df=20, max_df=0.95"
119,MultinomialNB,countVectorizer,"(1, 2)",20,0.99,2456,5000,0.9218,0.9108,0.919,0.9076,1.14,"ngram=(1, 2), min_df=20, max_df=0.99"
120,MultinomialNB,countVectorizer,"(1, 3)",1,0.9,5000,5000,0.9326,0.9184,0.9303,0.9155,1.47,"ngram=(1, 3), min_df=1, max_df=0.9"
121,MultinomialNB,countVectorizer,"(1, 3)",1,0.95,5000,5000,0.9326,0.9184,0.9303,0.9155,1.47,"ngram=(1, 3), min_df=1, max_df=0.95"
122,MultinomialNB,countVectorizer,"(1, 3)",1,0.99,5000,5000,0.9326,0.9184,0.9303,0.9155,1.47,"ngram=(1, 3), min_df=1, max_df=0.99"
123,MultinomialNB,countVectorizer,"(1, 3)",5,0.9,5000,5000,0.9327,0.9187,0.9303,0.9158,1.46,"ngram=(1, 3), min_df=5, max_df=0.9"
124,MultinomialNB,countVectorizer,"(1, 3)",5,0.95,5000,5000,0.9327,0.9187,0.9303,0.9158,1.46,"ngram=(1, 3), min_df=5, max_df=0.95"
125,MultinomialNB,countVectorizer,"(1, 3)",5,0.99,5000,5000,0.9327,0.9187,0.9303,0.9158,1.46,"ngram=(1, 3), min_df=5, max_df=0.99"
126,MultinomialNB,countVectorizer,"(1, 3)",10,0.9,4666,5000,0.9318,0.918,0.9294,0.9151,1.43,"ngram=(1, 3), min_df=10, max_df=0.9"
127,MultinomialNB,countVectorizer,"(1, 3)",10,0.95,4666,5000,0.9318,0.918,0.9294,0.9151,1.43,"ngram=(1, 3), min_df=10, max_df=0.95"
128,MultinomialNB,countVectorizer,"(1, 3)",10,0.99,4666,5000,0.9318,0.918,0.9294,0.9151,1.43,"ngram=(1, 3), min_df=10, max_df=0.99"
129,MultinomialNB,countVectorizer,"(1, 3)",20,0.9,2482,5000,0.9216,0.9116,0.9188,0.9083,1.05,"ngram=(1, 3), min_df=20, max_df=0.9"
130,MultinomialNB,countVectorizer,"(1, 3)",20,0.95,2482,5000,0.9216,0.9116,0.9188,0.9083,1.05,"ngram=(1, 3), min_df=20, max_df=0.95"
