,model,ngram_range,min_df,max_df,features_rec,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
122,RandomForestClassifier,"(1, 2)",10,0.99,4538,10000,0.8396544149948748,0.8489045294585084,0.8338643604915794,1.5,"ngram=(1, 2), min_df=10, max_df=0.99"
123,RandomForestClassifier,"(1, 2)",20,0.9,2456,10000,0.8409723239127251,0.8613656310338775,0.847771236333053,1.36,"ngram=(1, 2), min_df=20, max_df=0.9"
124,RandomForestClassifier,"(1, 2)",20,0.95,2456,10000,0.8418509298579587,0.8610377258797421,0.8483997754070747,1.26,"ngram=(1, 2), min_df=20, max_df=0.95"
125,RandomForestClassifier,"(1, 2)",20,0.99,2456,10000,0.8362864255381461,0.8577997631157249,0.8447653429602888,1.3,"ngram=(1, 2), min_df=20, max_df=0.99"
126,RandomForestClassifier,"(1, 3)",1,0.9,10000,10000,0.8529799384975838,0.859839326105608,0.8433208489388264,1.65,"ngram=(1, 3), min_df=1, max_df=0.9"
127,RandomForestClassifier,"(1, 3)",1,0.95,10000,10000,0.8532728071459951,0.8605994803986196,0.8442164179104478,1.64,"ngram=(1, 3), min_df=1, max_df=0.95"
128,RandomForestClassifier,"(1, 3)",1,0.99,10000,10000,0.8506369893102943,0.8576497358170388,0.8429319371727748,1.47,"ngram=(1, 3), min_df=1, max_df=0.99"
129,RandomForestClassifier,"(1, 3)",10,0.9,4666,10000,0.8487333430956217,0.856262216208089,0.844497967785639,1.18,"ngram=(1, 3), min_df=10, max_df=0.9"
130,RandomForestClassifier,"(1, 3)",10,0.95,4666,10000,0.8449260506662761,0.85377570935295,0.8407279290118815,1.3,"ngram=(1, 3), min_df=10, max_df=0.95"
131,RandomForestClassifier,"(1, 3)",10,0.99,4666,10000,0.8569336652511349,0.8709012689346011,0.8587129428778019,1.22,"ngram=(1, 3), min_df=10, max_df=0.99"
132,RandomForestClassifier,"(1, 3)",20,0.9,2482,10000,0.8384829404012301,0.8586964098989195,0.8468268296069991,1.19,"ngram=(1, 3), min_df=20, max_df=0.9"
133,RandomForestClassifier,"(1, 3)",20,0.95,2482,10000,0.8411187582369307,0.8619851308974313,0.847462392801912,1.45,"ngram=(1, 3), min_df=20, max_df=0.95"
134,RandomForestClassifier,"(1, 3)",20,0.99,2482,10000,0.837750768780202,0.8606204749746423,0.8457683741648107,1.49,"ngram=(1, 3), min_df=20, max_df=0.99"
135,RandomForestClassifier,"(2, 2)",1,0.9,10000,10000,0.6191243227412505,0.3988681247420857,0.3878559661096729,1.1,"ngram=(2, 2), min_df=1, max_df=0.9"
136,RandomForestClassifier,"(2, 2)",1,0.95,10000,10000,0.6201493630106897,0.400094306259578,0.3887841658812441,1.13,"ngram=(2, 2), min_df=1, max_df=0.95"
137,RandomForestClassifier,"(2, 2)",1,0.99,10000,10000,0.6173671108507834,0.393557174157636,0.3791874554526016,1.44,"ngram=(2, 2), min_df=1, max_df=0.99"
138,RandomForestClassifier,"(2, 2)",10,0.9,1353,10000,0.6069702738321863,0.36984744241699075,0.3563549160671463,1.35,"ngram=(2, 2), min_df=10, max_df=0.9"
139,RandomForestClassifier,"(2, 2)",10,0.95,1353,10000,0.608141748425831,0.37394105715308434,0.3598086124401914,1.41,"ngram=(2, 2), min_df=10, max_df=0.95"
140,RandomForestClassifier,"(2, 2)",10,0.99,1353,10000,0.608873920046859,0.37194283322370386,0.35993290198897676,1.2,"ngram=(2, 2), min_df=10, max_df=0.99"
141,RandomForestClassifier,"(2, 2)",20,0.9,469,10000,0.5975984770830283,0.33614369501466274,0.3284457478005865,0.77,"ngram=(2, 2), min_df=20, max_df=0.9"
142,RandomForestClassifier,"(2, 2)",20,0.95,469,10000,0.5983306487040563,0.34309674282936314,0.3321158996834673,1.1,"ngram=(2, 2), min_df=20, max_df=0.95"
143,RandomForestClassifier,"(2, 2)",20,0.99,469,10000,0.5978913457314394,0.33860045146726864,0.32926233512457254,0.93,"ngram=(2, 2), min_df=20, max_df=0.99"
144,XGBClassifier,"(1, 1)",1,0.9,10000,10000,0.9223898081710353,0.9648244958924571,0.9214582098399525,4.34,"ngram=(1, 1), min_df=1, max_df=0.9"
145,XGBClassifier,"(1, 1)",1,0.95,10000,10000,0.9223898081710353,0.9648244958924571,0.9214582098399525,4.34,"ngram=(1, 1), min_df=1, max_df=0.95"
146,XGBClassifier,"(1, 1)",1,0.99,10000,10000,0.9223898081710353,0.9648244958924571,0.9214582098399525,4.34,"ngram=(1, 1), min_df=1, max_df=0.99"
147,XGBClassifier,"(1, 1)",10,0.9,3185,10000,0.9216576365500073,0.9644510828976849,0.9207289968884279,4.37,"ngram=(1, 1), min_df=10, max_df=0.9"
148,XGBClassifier,"(1, 1)",10,0.95,3185,10000,0.9216576365500073,0.9644510828976849,0.9207289968884279,4.37,"ngram=(1, 1), min_df=10, max_df=0.95"
149,XGBClassifier,"(1, 1)",10,0.99,3185,10000,0.9216576365500073,0.9644510828976849,0.9207289968884279,4.37,"ngram=(1, 1), min_df=10, max_df=0.99"
150,XGBClassifier,"(1, 1)",20,0.9,1987,10000,0.9219505051984185,0.9603639211007122,0.9209081466092892,3.95,"ngram=(1, 1), min_df=20, max_df=0.9"
151,XGBClassifier,"(1, 1)",20,0.95,1987,10000,0.9219505051984185,0.9603639211007122,0.9209081466092892,3.95,"ngram=(1, 1), min_df=20, max_df=0.95"
152,XGBClassifier,"(1, 1)",20,0.99,1987,10000,0.9219505051984185,0.9603639211007122,0.9209081466092892,3.95,"ngram=(1, 1), min_df=20, max_df=0.99"
153,XGBClassifier,"(1, 2)",1,0.9,10000,10000,0.9260506662761752,0.9665161073574975,0.9251740998666469,4.13,"ngram=(1, 2), min_df=1, max_df=0.9"
154,XGBClassifier,"(1, 2)",1,0.95,10000,10000,0.9260506662761752,0.9665161073574975,0.9251740998666469,4.13,"ngram=(1, 2), min_df=1, max_df=0.95"
155,XGBClassifier,"(1, 2)",1,0.99,10000,10000,0.9260506662761752,0.9665161073574975,0.9251740998666469,4.13,"ngram=(1, 2), min_df=1, max_df=0.99"
156,XGBClassifier,"(1, 2)",10,0.9,4538,10000,0.9231219797920632,0.9656974357060206,0.9222797927461139,4.34,"ngram=(1, 2), min_df=10, max_df=0.9"
157,XGBClassifier,"(1, 2)",10,0.95,4538,10000,0.9231219797920632,0.9656974357060206,0.9222797927461139,4.34,"ngram=(1, 2), min_df=10, max_df=0.95"
